season_name,team_name,win,loss,pct,home,away,div,conf,ppg,opp_ppg,diff
2014-15,IND,38,44,.463,23-18,15-26,8-8,28-24,97.3,97.0,+0.3
2014-15,UTAH,38,44,.463,21-20,17-24,9-7,23-29,95.1,94.9,+0.2
2014-15,MIA,37,45,.451,20-21,17-24,6-10,25-27,94.7,97.3,-2.6
2014-15,CHA,33,49,.402,19-22,14-27,8-8,25-27,94.2,97.3,-3.1
2014-15,DET,32,50,.390,18-23,14-27,6-10,23-29,98.5,99.5,-1.0
2014-15,DEN,30,52,.366,19-22,11-30,6-10,19-33,101.5,105.0,-3.5
2014-15,SAC,29,53,.354,18-23,11-30,7-9,18-34,101.3,105.0,-3.7
2014-15,ORL,25,57,.305,13-28,12-29,4-12,15-37,95.7,101.4,-5.7
2014-15,LAL,21,61,.256,12-29,9-32,2-14,9-43,98.5,105.3,-6.8
2014-15,PHI,18,64,.220,12-29,6-35,2-14,12-40,92.0,101.0,-9.0
2014-15,NY,17,65,.207,10-31,7-34,5-11,11-41,91.9,101.2,-9.3
2012-13,PHI,34,48,.415,23-18,11-30,7-9,22-30,93.2,96.5,-3.3
2012-13,TOR,34,48,.415,21-20,13-28,5-11,22-30,97.2,98.7,-1.5
2012-13,POR,33,49,.402,22-19,11-30,6-10,18-34,97.5,100.7,-3.2
2012-13,MIN,31,51,.378,20-21,11-30,4-12,17-35,95.7,98.1,-2.4
2012-13,DET,29,53,.354,18-23,11-30,8-8,25-27,94.9,98.8,-3.9
2012-13,WSH,29,53,.354,22-19,7-34,5-11,15-37,93.2,95.8,-2.6
2012-13,SAC,28,54,.341,20-21,8-33,7-9,14-38,100.2,105.1,-4.9
2012-13,NO,27,55,.329,16-25,11-30,5-11,15-37,94.1,97.9,-3.8
2012-13,PHX,25,57,.305,17-24,8-33,5-11,17-35,95.2,101.6,-6.4
2012-13,CLE,24,58,.293,14-27,10-31,3-13,18-34,96.5,101.2,-4.7
2012-13,CHA,21,61,.256,15-26,6-35,6-10,18-34,93.4,102.7,-9.3
2012-13,ORL,20,62,.244,12-29,8-33,3-13,10-42,94.1,101.1,-7.0
2015-16,SA,67,15,.817,40-1,27-14,14-2,43-9,103.5,92.9,+10.6
2015-16,CLE,57,25,.695,33-8,24-17,8-8,35-17,104.3,98.3,+6.0
2015-16,TOR,56,26,.683,32-9,24-17,14-2,39-13,102.7,98.2,+4.5
2015-16,OKC,55,27,.671,32-9,23-18,13-3,37-15,110.2,102.9,+7.3
2015-16,LAC,53,29,.646,29-12,24-17,9-7,31-21,104.5,100.2,+4.3
2015-16,MIA,48,34,.585,28-13,20-21,10-6,31-21,100.0,98.4,+1.6
2015-16,ATL,48,34,.585,27-14,21-20,8-8,29-23,102.8,99.2,+3.6
2015-16,BOS,48,34,.585,28-13,20-21,10-6,31-21,105.7,102.5,+3.2
2015-16,CHA,48,34,.585,30-11,18-23,8-8,33-19,103.4,100.7,+2.7
2015-16,IND,45,37,.549,26-15,19-22,8-8,30-22,102.2,100.5,+1.7
